domain,tld,category,severity,ip,ip_country,registered,notes
06697.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06700.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06715.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06729.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06785.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06905.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06914.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06942.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06956.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06957.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06979.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07024.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07052.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07074.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07165.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07204.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07207.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07220.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07270.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07334.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07393.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07399.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07418.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07422.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07475.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07515.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07527.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07538.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07553.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07568.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07579.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07625.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07688.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07716.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07719.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07725.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07773.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07779.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07820.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07831.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07835.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07846.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07915.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07940.cfd,cfd,,HIGH,,,,Confirmed by hagezi
07975.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08002.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08013.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08014.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08043.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08131.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08137.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08160.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08161.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08179.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08206.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08216.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08233.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08243.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08260.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08269.cfd,cfd,,HIGH,,,,Confirmed by hagezi
0828.yangyang123.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
08285.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08323.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08347.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08383.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08414.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08448.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08456.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08577.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08583.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08629.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08634.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08684.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08690.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08700.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08780.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08882.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08892.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08903.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08957.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08971.cfd,cfd,,HIGH,,,,Confirmed by hagezi
08c75283eb97a136470ae61be898dded.icu,icu,,HIGH,,,,Confirmed by hagezi
09029.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09109.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09124.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09218.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09219.cfd,cfd,,HIGH,,,,Confirmed by hagezi
0923817.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09247.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09337.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09343.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09349.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09364.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09369.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09394.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09423.cfd,cfd,,HIGH,,,,Confirmed by hagezi
094603ea93018248c08c57aba2ecc11c.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09498.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09531.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09574.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09583.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09593.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09661.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09712.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09735.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09736.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09756.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09759.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09901.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09929.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09943.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09950.cfd,cfd,,HIGH,,,,Confirmed by hagezi
09976.cfd,cfd,,HIGH,,,,Confirmed by hagezi
0a5f718268b3.cfd,cfd,,HIGH,,,,Confirmed by hagezi
0bthaha.cyou,cyou,,HIGH,,,,Confirmed by hagezi
